No,山名,北緯,東経,よみがな,標高（m）,所在地,地域名,備考,クラス,カウント
271,鷲ヶ岳,35.9402777,136.9713888,わしがたけ,1671,岐阜県,近畿･北陸,H20年標高変更,三百名山,0
272,川上岳,36.0083333,137.1494444,かおれだけ,1625,岐阜県,近畿･北陸,H26年標高変更,三百名山,0
273,冠山,35.7797222,136.4094444,かんむりやま,1257,福井県･岐阜県,近畿･北陸,,三百名山,0
274,藤原岳,35.1586111,136.4527777,ふじわらだけ,1120,三重県･滋賀県,近畿･北陸,,三百名山,0
275,倶留尊山,34.5308333,136.1702777,くろそやま,1037,三重県･奈良県,近畿･北陸,H21年標高変更,三百名山,0
276,三峰山,34.4486111,136.2063888,みうねやま,1235,三重県･奈良県,近畿･北陸,,三百名山,0
277,高見山,34.4286111,136.0883333,たかみやま,1248,三重県･奈良県,近畿･北陸,,三百名山,0
278,竜門岳,34.4405555,135.8977777,りゅうもんがたけ,904,奈良県,近畿･北陸,,三百名山,0
279,護摩壇山,34.0575,135.5669444,ごまだんざん,1372,奈良県・和歌山県,近畿･北陸,,三百名山,0
280,葛城山,34.4561111,135.6822222,かつらぎさん,959,奈良県･大阪府,近畿･北陸,,三百名山,0
281,蓬莱山,35.2094444,135.8858333,ほうらいさん,1174,滋賀県,近畿･北陸,,三百名山,0
282,大比叡（比叡山）,35.0658333,135.8344444,だいひえい（ひえいざん）,848,滋賀県・京都府,近畿･北陸,,三百名山,0
283,愛宕山,35.0602777,135.6341666,あたごやま,924,京都府,近畿･北陸,,三百名山,0
284,六甲山,34.7780555,135.2636111,ろっこうさん,931,兵庫県,近畿･北陸,,三百名山,0
285,扇ノ山,35.4397222,134.4408333,おおぎのせん,1310,鳥取県,中四国・九州,,三百名山,0
286,那岐山,35.1716666,134.1802777,なぎさん,1255,鳥取県・岡山県,中四国・九州,,三百名山,0
287,道後山,35.0694444,133.2327777,どうごやま,1271,広島県･鳥取県,中四国・九州,,三百名山,0
288,吾妻山,35.0680555,133.0330555,あづまやま,1239,広島県･島根県,中四国・九州,,三百名山,0
289,伊予富士,33.7880555,133.2480555,いよふじ,1756,愛媛県･高知県,中四国・九州,,三百名山,0
290,瓶ヶ森,33.7947222,133.1933333,かめがもり,1897,愛媛県,中四国・九州,H26年標高変更,三百名山,0
291,三本杭,33.1883333,132.6352777,さんぼんぐい,1226,愛媛県,中四国・九州,,三百名山,0
292,篠山,33.0558333,132.6591666,ささやま,1065,愛媛県･高知県,中四国・九州,,三百名山,0
293,背振山,33.4363888,130.3686111,せぶりやま,1055,福岡県･佐賀県,中四国・九州,,三百名山,0
294,多良岳,32.9755555,130.0927777,たらだけ,996,佐賀県,中四国・九州,,三百名山,0
295,鶴見岳,33.2866666,131.4297222,つるみだけ,1375,大分県,中四国・九州,,三百名山,0
296,大船山,33.095,131.2805555,たいせんざん,1786,大分県,中四国・九州,,三百名山,0
297,湧蓋山,33.14,131.1644444,わいたさん,1500,大分県,中四国・九州,,三百名山,0
298,傾山,32.8388888,131.4758333,かたむきやま,1605,大分県,中四国・九州,,三百名山,0
299,国見岳,32.5472222,131.0183333,くにみだけ,1739,熊本県･宮崎県,中四国・九州,,三百名山,0
300,大箆柄岳（高隈山）,31.4861111,130.8186111,おおのがらだけ（たかくまやま）,1236,鹿児島県,中四国・九州,,三百名山,0
301,山上ヶ岳,34.2525,135.9411111,さんじょうがたけ,1719,奈良県,近畿･北陸,,三百名山,0
